,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
196639,"	0","	8","	8","	6","	131","	4","	9","	0","	3","	7","	4","	0","	3","	10","	26","	4","	0","	11","	4","	3","	14","	3","	35","	6","	22","	5","	2","	4","	0","	0","	0","	26","	2","	0","	50","	26","	0","	36","	29","	4","	4","	0","	8","	35","	2","	17","	1","	7","	3","	7","	0","	"
196640,"	1","	6","	3","	13","	114","	2","	5","	1","	2","	15","	3","	2","	9","	3","	33","	14","	3","	14","	5","	6","	10","	7","	42","	7","	10","	3","	4","	8","	0","	3","	1","	26","	12","	3","	41","	23","	2","	29","	28","	3","	3","	0","	8","	43","	1","	9","	0","	5","	1","	6","	2","	"
196641,"	3","	7","	8","	5","	112","	3","	4","	0","	0","	10","	11","	0","	9","	1","	19","	6","	3","	13","	4","	10","	9","	5","	52","	11","	12","	2","	2","	5","	4","	0","	1","	15","	21","	0","	42","	26","	0","	20","	31","	3","	0","	2","	20","	38","	3","	6","	0","	4","	8","	3","	0","	"
196642,"	1","	4","	5","	1","	145","	16","	4","	2","	1","	21","	7","	0","	13","	3","	22","	8","	4","	8","	6","	7","	14","	9","	47","	5","	28","	7","	7","	9","	0","	5","	3","	17","	10","	1","	61","	27","	2","	32","	26","	3","	2","	0","	19","	23","	0","	9","	0","	22","	10","	4","	0","	"
196643,"	5","	10","	7","	10","	121","	4","	12","	2","	0","	10","	32","	1","	3","	7","	28","	6","	4","	19","	12","	16","	26","	5","	46","	4","	31","	1","	3","	11","	3","	0","	0","	32","	11","	0","	74","	22","	3","	17","	31","	0","	4","	1","	8","	30","	4","	5","	0","	24","	9","	6","	2","	"
196644,"	1","	7","	8","	8","	131","	5","	4","	1","	1","	5","	9","	6","	8","	8","	14","	10","	9","	18","	3","	12","	14","	14","	43","	0","	6","	3","	1","	12","	2","	0","	0","	29","	12","	0","	64","	22","	0","	34","	22","	1","	0","	0","	10","	44","	2","	13","	0","	0","	4","	9","	7","	"
196645,"	0","	5","	3","	11","	133","	1","	13","	2","	0","	9","	7","	0","	7","	10","	21","	9","	0","	14","	4","	9","	15","	7","	34","	3","	30","	3","	1","	8","	2","	1","	2","	19","	9","	0","	38","	24","	2","	24","	28","	1","	4","	0","	10","	41","	1","	8","	1","	0","	6","	4","	0","	"
196646,"	2","	12","	5","	11","	113","	7","	20","	3","	1","	6","	4","	2","	14","	3","	32","	16","	2","	16","	12","	11","	17","	9","	39","	7","	6","	10","	4","	6","	0","	0","	0","	24","	2","	0","	73","	25","	8","	22","	38","	2","	1","	0","	21","	49","	3","	20","	2","	15","	9","	13","	0","	"
196647,"	0","	5","	2","	7","	114","	5","	10","	3","	1","	4","	101","	2","	10","	10","	9","	11","	2","	10","	4","	15","	16","	11","	55","	1","	16","	7","	3","	6","	0","	0","	1","	33","	20","	0","	47","	18","	3","	37","	21","	11","	0","	0","	11","	16","	3","	9","	0","	8","	10","	4","	2","	"
196648,"	1","	12","	3","	9","	115","	6","	7","	0","	2","	10","	12","	0","	12","	24","	25","	13","	3","	24","	3","	13","	20","	3","	54","	7","	4","	9","	11","	4","	0","	0","	0","	29","	26","	1","	50","	16","	8","	27","	34","	4","	1","	0","	26","	41","	3","	7","	1","	22","	25","	4","	2","	"
196649,"	1","	4","	3","	10","	115","	5","	11","	2","	4","	10","	26","	0","	1","	2","	24","	2","	2","	13","	14","	25","	16","	10","	39","	9","	30","	4","	4","	5","	8","	1","	1","	24","	19","	0","	59","	31","	5","	21","	19","	1","	3","	0","	26","	44","	10","	14","	0","	17","	33","	5","	0","	"
196650,"	0","	11","	4","	6","	94","	1","	8","	2","	1","	7","	11","	0","	3","	8","	24","	11","	11","	22","	9","	9","	21","	2","	59","	14","	36","	9","	0","	7","	1","	0","	0","	12","	24","	0","	45","	18","	5","	29","	85","	1","	2","	0","	12","	32","	9","	15","	0","	11","	17","	6","	1","	"
196651,"	0","	1","	1","	9","	92","	2","	15","	0","	5","	0","	3","	0","	10","	5","	26","	8","	7","	4","	7","	20","	12","	3","	53","	8","	17","	7","	3","	3","	0","	1","	1","	19","	9","	0","	46","	23","	1","	28","	47","	1","	0","	0","	14","	27","	5","	16","	1","	11","	17","	9","	0","	"
196652,"	1","	7","	1","	31","	112","	2","	10","	0","	9","	9","	9","	0","	8","	3","	21","	9","	5","	6","	10","	14","	13","	1","	38","	11","	3","	2","	0","	8","	3","	1","	1","	13","	11","	0","	63","	18","	3","	35","	29","	8","	0","	0","	15","	30","	2","	4","	0","	18","	9","	2","	0","	"
196701,"	1","	10","	2","	7","	106","	0","	6","	1","	0","	2","	23","	0","	5","	0","	6","	0","	0","	22","	0","	16","	14","	12","	51","	4","	8","	3","	5","	3","	1","	0","	1","	18","	7","	0","	38","	11","	0","	41","	33","	16","	3","	0","	11","	35","	3","	8","	1","	0","	8","	9","	1","	"
196702,"	0","	3","	5","	16","	116","	1","	13","	1","	2","	5","	14","	2","	10","	8","	16","	1","	7","	39","	7","	16","	21","	5","	62","	2","	28","	7","	5","	2","	2","	3","	1","	17","	11","	0","	44","	31","	2","	39","	22","	6","	1","	0","	14","	44","	5","	22","	0","	19","	8","	13","	0","	"
